globalid,created_date,created_user,last_edited_date,last_edited_user,field_1,field_2,field_3,field_4,field_5,grade,field_7,field_8,field_9,field_10,field_11,field_12,field_13,field_13_other,field_14,field_15,field_15_other,field_16,field_18,x,y
{A4E49E67-A48E-452A-842D-50E8A86148F1},5/20/2024 18:32:37,GIO_20,5/20/2024 19:33:08,GIO_20,ทดสอบ,ศูนย์กีฬา,,ยานนาวา,90000000,A,/,kkkkmnnn,รายจ่ายประจำปี 2567,9999,,"แอโรบิก,เครื่องออกกำลังกายกลางแจ้ง",other,jjjjj,999,ปรับปรุงแล้วพร้อมใช้งาน,,ไม่สามารถของบประมาณได้,,5.7E-14,5.7E-14
{33697C63-0DBD-446F-A8F2-CF51676269BD},2024-05-20 18:32,GIO_20,2024-05-20 18:32,GIO_20,ริมทางรถไฟสายท่าเรือ ( ลาน 1 ),ลานกีฬา,สำนักงานเขต,คลองเตย,,C,/,การทางพิเศษแห่งประเทศไทย,,,,,,,,,,,,13.71881483,100.5540818
{1B720DF8-1A60-4165-9FFD-C3DCF13AC354},2024-05-20 18:32,GIO_20,2024-05-20 18:32,GIO_20,ลานกีฬาวัดคลองเตยใน 3,ลานกีฬา,สำนักงานเขต,คลองเตย,,A,/,การท่าเรือแห่งประเทศไทย,,,,,,,,,,,,13.71157431,100.5617636
{731FC56B-91B3-49E4-A7BD-CAACA0173CED},2024-05-20 18:32,GIO_20,2024-05-20 18:32,GIO_20,พัฒนาใหม่ (ลาน 3),ลานกีฬา,สำนักงานเขต,คลองเตย,,C,/,การท่าเรือแห่งประเทศไทย,,,,,,,,,,,,13.71632807,100.5643926
{E76C5F46-A036-4614-82D4-336B92C16980},2024-05-20 18:32,GIO_20,2024-05-20 18:32,GIO_20,ริมคลองสามัคคี,ลานกีฬา,สำนักงานเขต,คลองเตย,,C,/,การท่าเรือแห่งประเทศไทย,,,,,,,,,,,,13.71665459,100.5668907
{00869CC5-BFDD-4818-9872-AE8022480026},2024-05-20 18:32,GIO_20,2024-05-20 18:32,GIO_20,ลานกีฬากลางคลองเตย (ศูนย์เยาวชน),ลานกีฬา,สำนักงานเขต,คลองเตย,,A,/,การท่าเรือแห่งประเทศไทย,,,,,,,,,,,,13.71139988,100.5682633
{87DBEBC4-A73E-41D6-9A82-17BCF67714BD},2024-05-20 18:32,GIO_20,2024-05-20 18:32,GIO_20,ลานกีฬาน้องใหม่,ลานกีฬา,สำนักงานเขต,คลองเตย,,C,/,การท่าเรือแห่งประเทศไทย,,,,,,,,,,,,13.71319774,100.5685687
{70E8D1EA-501D-40D0-B18D-C04609BBAC1F},2024-05-20 18:32,GIO_20,2024-05-20 18:32,GIO_20,แฟลต 11-18 (ลาน 1),ลานกีฬา,สำนักงานเขต,คลองเตย,,C,/,การท่าเรือแห่งประเทศไทย,ปรับปรุงปี 2567,,,,,,,,,,,13.71030984,100.5690637
{D55ECDF7-2D24-44D5-A8AD-5DF47CD2ED91},2024-05-20 18:32,GIO_20,2024-05-20 18:32,GIO_20,ลานกีฬาร่มเกล้า (ลาน 2),ลานกีฬา,สำนักงานเขต,คลองเตย,,C,/,การท่าเรือแห่งประเทศไทย,,,,,,,,,,,,13.71215214,100.5690847
{16B93DA0-822A-47DE-A368-8F9C5154B5AC},2024-05-20 18:32,GIO_20,2024-05-20 18:32,GIO_20,แฟลต 1 - 10 (ลาน 1),ลานกีฬา,สำนักงานเขต,คลองเตย,,C,/,การท่าเรือแห่งประเทศไทย,ปรับปรุงปี 2567,,,,,,,,,,,13.71357497,100.5697844
{EE50A180-EEDD-4B66-9533-DE08E9E10603},2024-05-20 18:32,GIO_20,2024-05-20 18:32,GIO_20,แฟลต 1 – 10 (ลาน 2),ลานกีฬา,สำนักงานเขต,คลองเตย,,C,/,การท่าเรือแห่งประเทศไทย,,,,,,,,,,,,13.71394917,100.5698192
{A5E0CD4C-F31A-4721-B0A6-BFC7664652F0},2024-05-20 18:32,GIO_20,2024-05-20 18:32,GIO_20,แฟลต 11-18 (ลาน 2),ลานกีฬา,สำนักงานเขต,คลองเตย,,C,/,การท่าเรือแห่งประเทศไทย,,,,,,,,,,,,13.71065592,100.569975
{A8EEAB6D-CB19-43C3-8629-6DCBF4C08F93},2024-05-20 18:32,GIO_20,2024-05-20 18:32,GIO_20,ลานกีฬาชุมชนร่มเกล้า (ลาน 1),ลานกีฬา,สำนักงานเขต,คลองเตย,,C,/,การท่าเรือแห่งประเทศไทย,รายจ่ายประจำปี 2567,,ทาสีพื้นสนาม,,,,,,,,ดำเนินการแล้วเสร็จ,13.71283326,100.5700093
{5C19219B-7CCA-49C0-9865-C098064014C0},2024-05-20 18:32,GIO_20,2024-05-20 18:32,GIO_20,แฟลต 1 – 10 (ลาน 3),ลานกีฬา,สำนักงานเขต,คลองเตย,,C,/,การท่าเรือแห่งประเทศไทย,,,,,,,,,,,,13.71453747,100.570949
{7C7F4819-17D5-43EE-9068-5F45698DA6F2},2024-05-20 18:32,GIO_20,2024-05-20 18:32,GIO_20,แฟลต 1 – 10 (ลาน 5),ลานกีฬา,สำนักงานเขต,คลองเตย,,C,/,การท่าเรือแห่งประเทศไทย,,,,,,,,,,,,13.71352944,100.5712699
{E45986AD-5CE4-4F14-A0DC-86A4DE71A6BF},2024-05-20 18:32,GIO_20,2024-05-20 18:32,GIO_20,แฟลต 1 – 10 (ลาน 4),ลานกีฬา,สำนักงานเขต,คลองเตย,,C,/,การท่าเรือแห่งประเทศไทย,,,,,,,,,,,,13.71392482,100.5715217
{F0BB759A-CC6E-43AD-AB59-64C647557D43},2024-05-20 18:32,GIO_20,2024-05-20 18:32,GIO_20,พัฒนาชุมชนใหม่ (แฟลต19-22),ลานกีฬา,สำนักงานเขต,คลองเตย,,C,/,การท่าเรือแห่งประเทศไทย,,,,,,,,,,,,13.71049718,100.5720584
{5F5A271C-74E2-406E-95DF-5856151EEB9D},2024-05-20 18:32,GIO_20,2024-05-20 18:32,GIO_20,ล็อค 4-5-6 (ลาน 1),ลานกีฬา,สำนักงานเขต,คลองเตย,,C,/,การท่าเรือแห่งประเทศไทย,,,,,,,,,,,,13.71117949,100.5758413
{3E581AE4-A99D-48BB-89CA-06C798753AD2},2024-05-20 18:32,GIO_20,2024-05-20 18:32,GIO_20,ล็อค 4-5-6 (ลาน 2),ลานกีฬา,สำนักงานเขต,คลองเตย,,C,/,การท่าเรือแห่งประเทศไทย,,,,,,,,,,,,13.71168735,100.5762088
{5A1C589B-AB6D-4BF4-8E14-C4E4C9E495FC},2024-05-20 18:32,GIO_20,2024-05-20 18:32,GIO_20,โรงหมู (ลาน 2),ลานกีฬา,สำนักงานเขต,คลองเตย,,C,/,การท่าเรือแห่งประเทศไทย,,,,,,,,,,,,13.70643372,100.5831424
{374279AC-71E0-456F-BA9D-76778A1A0748},2024-05-20 18:32,GIO_20,2024-05-20 18:32,GIO_20,โรงหมู (ลาน 1),ลานกีฬา,สำนักงานเขต,คลองเตย,,C,/,การท่าเรือแห่งประเทศไทย,,,,,,,,,,,,13.70574244,100.5834642
{3FF17F03-9D5E-466F-9553-51321ABFE05A},2024-05-20 18:32,GIO_20,2024-05-20 18:32,GIO_20,ชุมชนริมคลองพระโขนง,ลานกีฬา,สำนักงานเขต,คลองเตย,,C,/,การท่าเรือแห่งประเทศไทย,ปรับปรุงปี 2567,,,,,,,,,,,13.7067515,100.5900848
{BE541FE4-375C-4DE8-AE32-345A8A58B634},2024-05-20 18:32,GIO_20,2024-05-20 18:32,GIO_20,ชุมชน 70 ไร่,ลานกีฬา,สำนักงานเขต,คลองเตย,,C,/,การท่าเรือแห่งประเทศไทย,ปรับปรุงปี 2567,,,,,,,,,,,13.710278,100.572222
{984C0C66-095A-4316-AA41-0CEC5253B8DB},2024-05-20 18:32,GIO_20,2024-05-20 18:32,GIO_20,ชุมชนมัสยิดสุวรรณภูมิ,ลานกีฬา,สำนักงานเขต,คลองสาน,,C,×,-,,,,,,,,,,,,13.72496571,100.5098637
{84D6F19E-B075-4708-861D-2CD3B12555CD},2024-05-20 18:32,GIO_20,2024-05-20 18:32,GIO_20,ลานกีฬาสวนป่าเฉลิมพระเกียรติใต้สะพานสมเด็จพระเจ้าตากสินมหาราช,ลานกีฬา,สำนักงานเขต,คลองสาน,,A,/,กรมโยธาธิการ,,,,,,,,,,,,13.71997136,100.5099864
{3DECA583-AE4B-409F-B02F-97001C4DB733},2024-05-20 18:32,GIO_20,2024-05-20 18:32,GIO_20,ลานกีฬาสวนป่าเฉลิมพระเกียรติสะพานพระปกเกล้า,ลานกีฬา,สำนักงานเขต,คลองสาน,,A,/,กรมโยธาธิการ,รายจ่ายประจำปี 2567,,,,,,,,,,อยู่ระหว่างผู้รับจ้าง,13.73653021,100.4971867
{9610D06B-5B6D-4F35-B258-3637B017AD61},2024-05-20 18:32,GIO_20,2024-05-20 18:32,GIO_20,ชุมชนหมู่ 3 ลำกะโหลก,ลานกีฬา,สำนักงานเขต,คลองสามวา,,C,/,กรุงเทพมหานคร,,,,,,,,,,,,13.84313353,100.6946434
{E02451FE-D308-482B-838F-52DA7AD133F0},2024-05-20 18:32,GIO_20,2024-05-20 18:32,GIO_20,ชุมชนเฟื่องฟ้าวิลเลจ,ลานกีฬา,สำนักงานเขต,คลองสามวา,,C,/,กรุงเทพมหานคร,,,,,,,,,,,,13.82840556,100.6981862
{D7ED139D-2117-4C1B-898F-CFC8DB364209},2024-05-20 18:32,GIO_20,2024-05-20 18:32,GIO_20,ชุมชนสุเหร่าสามวา,ลานกีฬา,สำนักงานเขต,คลองสามวา,,C,/,เอกชน,,,,,,,,,,,,13.90578829,100.72701
{32474D71-A392-47DF-A7CF-21BBB9782DE0},2024-05-20 18:32,GIO_20,2024-05-20 18:32,GIO_20,ชุมชนมีนทองพัฒนา,ลานกีฬา,สำนักงานเขต,คลองสามวา,,B,/,เอกชน,,,,,,,,,,,,13.90579462,100.7270439
